Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,56,175060500,1113
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,58,254871700,2180
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,49,168355600,964
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,59,236006600,2156
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,49,329969800,2009
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,47,241930700,1862
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,46,925449100,4362
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,48,97183300,918
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,46,621201700,4000
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,43,190763300,1235
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,52,390279600,2433
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,39,172708200,1437
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,47,31101400,252
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,51,410439800,2973
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,42,135501200,1296
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,42,47815600,538
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,53,576937100,3763
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,46,589368300,4471
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,37,207983400,1896
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,36,63167800,620
