Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,96,97456100,1465
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,72,148654900,2010
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,69,53995200,846
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,74,97968100,1546
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,85,154787600,2187
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,58,59650800,844
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,107,288663200,3908
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,64,46352100,760
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,68,198533700,2943
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,57,76966100,1246
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,89,253590600,3524
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,67,86555200,1405
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,43,12154200,203
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,85,175705500,2701
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,66,52357300,896
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,43,31530900,562
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,74,174680200,2475
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,93,210958400,2805
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,108,125284100,2018
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,41,30622300,505
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,39,12732100,226
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,60,113944300,1591
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,94,50050000,784
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,59,68906200,995
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,50,25726700,386
