Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,57237800,867
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,85743200,1255
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,55162100,891
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,90,62296400,916
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,108726100,1434
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,64,40403200,524
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,204064300,2536
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,65,43557200,577
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,138,116658200,1576
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,67062400,1025
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,195256400,2549
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,65337400,1012
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,43,12105000,201
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,144,107739200,1543
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,72,41416200,665
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,48,24756400,419
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,119,108997000,1371
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,130,108981000,1433
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,65370900,965
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,47,22639300,349
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,39,12746400,226
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,192,169453400,1999
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,49956600,796
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,109,78709000,1102
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,50,22947300,342
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,44,23660800,371
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,62,25797900,437
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,192,168077600,2140
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,96548700,1218
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,119934900,1461
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,63358100,921
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,85,55635400,793
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,59,30461100,474
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,40,16522100,252
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,40,13990800,259
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,93,46859000,685
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,174894200,2265
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,86,54391900,818
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,85,63443300,908
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,57,35262300,469
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,40,12823000,215
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,54,30650400,467
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,50,30905700,444
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,69,34661000,518
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,43,18344700,341
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,45,20343400,336
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,31,8610600,160
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,,242063000,3177
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,,188503800,1945
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,51,20480000,288
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,70,47575800,615
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,48,26636500,382
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,,73122700,1052
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,99,67566800,962
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,68,37598600,554
oIBBCCoIDDLoAAooLMEEFFLMooJKGGHHJKoo,28,2985,84,57196100,814
GHBBBKGHCCoKGHAAoKDDIJooooIJEEooIFFF,28,2509,50,29968100,455
BBBCCoDDEEEoAAJKooooJKFFIoGGLoIHHHLo,28,1954,,55603700,906
GBBCCoGoHIDDAAHIoLoEEJKLFFFJKLoooooo,28,1493,,20667400,307
FooIBBFGoIKoFGAAKLCCCJKLooHJooDDHEEo,28,1088,39,17889000,285
BBBooKGoCCoKGoAAoKHoIJDDHoIJooHEEFFF,28,721,44,23237600,393
ooHBBBooHCCoAAIJooGoIJDDGEEJoKGFFFoK,28,202,33,5436200,96
BBoJCCDDDJoLoHAAKLoHEEKLooIFFoGGIooo,27,24871,,341244000,4098
BBIoooGHIoKoGHAAKLGCCCKLoooJDDEEoJFF,27,14551,72,56220300,785
GIoKBBGIJKooHIJAAMHooCCMDDDoLNEEFFLN,27,11675,,63479400,888
BBBoKooCCoKoAAHooooGHDDooGIJEEFFIJoo,27,9769,106,99417900,1369
BBBooLGoCCKLGAAJKoHDDJKoHoIEEEFFIooo,27,7858,,84689000,1090
FoooIJFBBBIJAAGHoKooGHoKoooHCCooDDEE,27,6631,52,49607700,648
ooooIKBBBoIKFAAoJoFGCCJooGHDDoooHEEo,27,5556,103,85152400,879
BBJKoNGoJKMNGAALMNHooLCCHIDDooHIEEFF,27,4934,,74475200,1137
HBBCCoHDDJooAAIJooooIKEEFFFKLooGGGLo,27,4314,39,20770000,336
BBoKCCGooKDDGAAKoLHIJEELHIJooMFFFooM,27,3720,57,27239700,421
IBBKLoIoJKLMAAJooMCCCDDMEEEFFoooGGHH,27,3120,83,47835900,745
BBBJoKoooJoKAAIooKHoICCCHDDoEEoFFGGG,27,2683,,28468600,457
oooIBBoGHIoKoGHAAKCCDDJoFoooJLFEEEJL,27,2214,43,21296700,344
BBCCCMIDDKLMIAAKLNEEJFFNooJGGGHHHooo,27,1858,37,10908900,155
oGooooEGoIBBEAAIKoFCCJKLFoHJKLFoHDDL,27,1618,53,25152500,355
BBBIJKFooIJKFAAIJLGoHCCLGoHDDDEEEooo,27,1346,36,16623800,256
IBBCCMIDDooMJoKAAMJoKLEEJFFLooGGHHHo,27,1119,34,11286900,192
FoooJKFBBBJKAAHIJKGoHICCGDDDooEEoooo,27,821,38,18373400,316
BBBCCLHoDDKLHoAAKoHoIJEEFFIJoMGGGJoM,27,618,38,11526600,190
oBBBCCDDKEEMJoKAAMJFFFoMJGGLHHoooLII,27,143,29,4730200,87
GHBBBoGHoJCCGAAJoKooIDDKooIEEKooIFFo,26,22013,63,43735200,548
GoBBCCGoJooLAAJooLHIDDDLHIoKEEFFoKoo,26,15298,101,61071200,896
BBBIoLoCCIJLAAHIJMGoHDDMGoEEKMFFooKo,26,12543,123,89953400,1133
BBooKooCCCKoAAIJKoooIJDDHEEEoLHFFGGL,26,10636,,129290400,1684
EBBBIJEoFGIJAAFGIooooHoooooHCCooDDDo,26,8822,96,73826200,967
BBoooKCCDDDKAAIooLooIEELHooJFFHGGJoo,26,7528,93,65705900,918
ooGBBoEFGoHoEFAAHJoCCoIJDDDoIJoooooo,26,6552,,96191200,1383
ooIoooFHIooKFHIAAKBBBJoKGooJCCGDDEEo,26,5863,69,34619900,510
BBBKoLCCCKoLAAJooMDDJooMIoEEFFIoGGHH,26,5129,42,18193200,264
oEBBJLoEooJLAAFHKMCCFHKMooGIoMooGIDD,26,4659,49,26573500,380
GBBJKoGooJKoAAIoKooHICCCoHDDEEFFFooo,26,4170,51,20518000,325
GBBCCoGoHIDDAAHIoKoEEIJKoFFFJKoooooo,26,3674,,23306100,338
BBBJoKoCCJoKAAIooLHoIDDLHEEFFLGGGooo,26,3238,37,19330200,272
BBBKoLCCCKoLAAJooLDDJoooIoEEFFIGGHHH,26,2926,68,29865300,429
oFBBBJoFooIJAAooIKoGCCIKoGHoDDEEHooo,26,2548,50,27824500,432
GBBCCoGoHDDDAAHoJKoEEIJKFFFIJKoooooo,26,2237,59,35340700,570
GIoBBBGIoKCCGAAKLMHDDDLMHoJEENooJFFN,26,1989,,22051600,352
HIBBBoHICCCMHIAALMDDJKLMooJKEEoFFGGo,26,1763,52,19703000,292
HoBBCCHDDDoLAAJooLIoJEEMIFFFKMGGGoKo,26,1516,35,23368000,387
BBCCCKDDDoJKAAooJLHEEoJLHoIFFFGGIooo,26,1348,55,19279200,315
ooHooKBBHooKoGAAoKoGIJCCDDIJooEEFFFo,26,1106,31,12376100,228
IJBBCCIJDDLoIJAALoEEoKLooooKFFGGHHoo,26,934,41,18601200,294
BBoJCCGIoJoLGIoAALGDDoKMHoooKMHEEFFF,26,756,32,19209400,332
HoJBBBHoJoLMIoAALMICCKDDEEEKoNFFFGGN,26,553,34,10847900,180
GBBCCKGoIooKAAIJoLDDDJoLHoooooHEEFFF,26,422,34,6547600,118
BBBCCLDDEEELGAAJKMGoIJKMHoIoKoHoIoFF,26,316,37,10900500,195
BBCCooooJKDDAAJKoMooJoLMHIEELMHIFFGG,25,39413,,424186400,4874
BBoKLoCCoKLMGIAALMGIJooNHoJDDNHEEFFo,25,23736,218,233606800,2470
BBBoKLCCDDKLAAoJooHEEJooHoIFFFGGIooo,25,18402,,133614300,1737
GHBBBKGHCCJKGAAoJLDDIoJLooIEEoFFoooo,25,14763,,280808000,3162
BBBCCoooIDDoAAIoJoEEEoJoHooFFoHooGGo,25,11972,,140998500,1818
oBBoJooFGoJKoFGAAKCCCIoKooHIDDEEHooo,25,10609,42,24745200,416
BBooooGHCCLMGHAALMoIDDLMoIJKEEFFJKoo,25,9332,101,103344100,1249
BBHIKLFoHIKLFAAJoLFGoJoooGCCooDDDEEo,25,8394,,85941000,1194
BBHIKLFoHIKLFAAJoLFGoJoooGCCooDDEEEo,25,7449,,114615000,1352
BBBoJKCCCoJKGHAAJLGHoooLGoIDDoEEIoFF,25,6902,129,110535500,1419
GBBJKoGooJKoAAIoKooHICCCoHDDEEFFoooo,25,6306,48,22911400,341
oHoBBooHoCCLoHAAKLDDIJKLooIJEEoFFGGo,25,5833,54,29997300,423
oBBoCCDDJooLooJAALEEJKoLIFFKGGIHHHoo,25,5329,62,35512900,556
BBoJKLCCCJKLAAIooMooIooMHoDDEEHFFGGG,25,4790,,31543000,438
FooIBBFCCIKLAAGJKLDDGJoMooHooMooHEEM,25,4363,32,9524900,142
BBBCCooooKDDoAAKoooIJKEEoIJFFLGGHHoL,25,3952,59,29889200,461
BBJLooHIJLCCHIAANoDDKMNoooKMEEoFFGGo,25,3691,44,22463200,348
oBBJooooIJCCAAIoooHoIDDKHEEEoKFFGGGK,25,3310,61,26747200,412
BBBIJKCCoIJKGAAoJLGoHooLGoHDDDEEFFoo,25,3025,,25696300,350
BBBoIKCCooIKoGAAJLoGHoJLooHDDLoEEFFo,25,2785,,29034000,439
HBBBCCHoIDDKHoIAAKEEEJoKoooJFFoGGooo,25,2508,48,28968600,452
BBBCCLooJDDLooJAALIEEKFFIooKGGIoHHoo,25,2285,40,21181300,328
oHBBBKoHoooKAAIoJLCCIoJLGoIDDDGEEFFF,25,2076,32,9986300,159
HIBBCCHIooKLAAooKLDDEEKMooJFFMGGJooo,25,1890,52,33258800,493
HBBCCMHDDoLMHAAKLMEEJKLooIJFFFoIGGGo,25,1763,51,31259000,472
oHBBKLFHoIKLFAAIKMGCCJoMGooJooGDDEEo,25,1630,50,31676400,482
HJBBBoHJCCCMIJAALMIDDKLMoooKEEFFGGoo,25,1476,47,17998500,269
BBBJCCooIJoKAAIJoKHDDEELHFFooLGGoooo,25,1326,42,27901300,470
oBBBoooCCCoIAAGHoIooGHDDEEEHoJFFFooJ,25,1180,42,21061800,332
FHBBCCFHIJKLAAIJKLGooJDDGooooMGEEEoM,25,1005,,26644600,448
GIoBBoGIooKLHIAAKLHCCoKMHoJDDMEEJFFM,25,890,33,14937500,234
IBBBCCIJDDDMIJAALMoJEELMoooKFFGGoKHH,25,731,31,12465700,210
oooooLGoIBBLGoIAAMHoJCCMHoJKDDoEEKFF,25,616,37,13666200,238
HBBBCCHJoooMHJAAoMIJDDoMIoKLEEFFKLGG,25,463,29,7939300,144
HBBBCCHoIDDKHoIAAKEEEJoKoFFJGGoooooo,25,340,31,11376300,213
HoJBBBHoJKLMIAAKLMICCDDNEEoooNFFFGGN,25,169,27,3596600,66
BBICCoGoIDDDGAAJoLoHoJKLoHEEKLoooFFF,24,47240,,668514000,7088
HBBCCLHoJDDLAAJooLoIEEKooIFFKoGGGoKo,24,25113,,206196000,2461
ooIBBoooIJCCoAAJoooHoJDDoHEEKLFFGGKL,24,19248,47,29253500,399
GHBBCCGHoooLGHAAKLoDDJKLooIJEEFFIooo,24,16056,112,87008700,1179
EoooooEooHIJEAAHIJBBGHIooFGCCooFDDDo,24,13487,94,49285600,628
BBCCCLHooooLHAAoKMDDJoKMoIJoEEoIFFGG,24,12179,,90967100,1001
GBBoJKGoooJKAAIoJKoHICCCoHDDEEFFoooo,24,10924,49,25771200,369
HBBJKoHoIJKoAAIooLCCDDoLEEEFFLooooGG,24,9799,,147453700,2014
GooJBBGCCJKLAAIoKLDDIoKMoHEEEMoHFFFo,24,8990,43,20748800,256
oFGoBBoFGooJAAGoIJECCCIJEDDHoooooHoo,24,8243,,35735100,523
BBBIoooooICCoAAJKLDDHJKLGoHEEMGFFFoM,24,7598,53,21553600,286
