Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,59678700
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,49064900
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,16582400
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,81886000
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,881052300
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,609,634104900
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,675923300
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,91432500
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,25634900
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,4660400
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,945763800
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,362213000
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,10337600
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,46283100
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,115926800
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,5039800
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,820903500
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,470489100
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,69860000
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,223085200
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,21969400
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,40135300
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,160934400
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,22008700
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,31037300
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,153305800
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,8624400
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,234877700
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,501,435000700
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,1571417700
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,91524400
