Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,71,145341800,690
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,65,101977800,655
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,66847500,369
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,84,146757100,969
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,112,220981300,887
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,131882200,666
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,170,724982600,1995
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,54,59524300,406
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,149,475727400,1842
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,79,148259800,641
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,110,312515300,1135
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,55,95262900,549
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,47,28145300,196
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,91,305606600,1455
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,66,98393900,630
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,41,34432000,294
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,382643500,1465
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,366236600,1650
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,145997700,1030
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,36,41921400,285
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,37,21729900,132
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,199,654745900,2171
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,46,77007000,336
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,38,58901300,145
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,42,62557000,244
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,36,47441000,295
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,47,49920000,375
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,225,740331100,2680
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,295730500,1787
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,435608800,1918
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,118229000,638
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,106369300,787
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,44,64605500,448
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,40,57104300,421
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,36,25878600,286
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,45,79767100,439
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,486756200,2125
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,63,106866700,538
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,152460800,1027
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,187170900,994
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,38,33822600,178
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,,90212500,421
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,71,96988600,515
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,,89112400,546
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,37,32778300,260
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,48,47526000,349
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,31,14916200,128
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,,726202400,3261
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,76,119124500,827
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,37,48138700,241
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,,177864700,626
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,134701000,667
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,,138692800,527
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,57,157904800,651
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,,79560500,334
oIBBCCoIDDLoAAooLMEEFFLMooJKGGHHJKoo,28,2985,30,29794400,128
GHBBBKGHCCoKGHAAoKDDIJooooIJEEooIFFF,28,2509,46,62424500,429
BBBCCoDDEEEoAAJKooooJKFFIoGGLoIHHHLo,28,1954,55,90840200,547
GBBCCoGoHIDDAAHIoLoEEJKLFFFJKLoooooo,28,1493,,60883100,321
FooIBBFGoIKoFGAAKLCCCJKLooHJooDDHEEo,28,1088,40,38356100,251
BBBooKGoCCoKGoAAoKHoIJDDHoIJooHEEFFF,28,721,32,34813300,272
