Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,64916100
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,1101419200
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,59480800
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,508114100
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,3540878600
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,5343381300
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,7503896700
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,494866600
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,232763300
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,3395377700
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,202099900
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,960429300
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,20925900
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,2588736500
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,425340500
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,331737800
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,4711687900
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,1117239600
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,2400624700
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,1313802400
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,13887800
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,2114585200
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,1058625200
