Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,36404800
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,29547400
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,11678300
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,202369600
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,730901100
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,122217000
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,527326500
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,3147300
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,11024000
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,2858600
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,356599000
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,46693100
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,2925700
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,34524500
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,48185300
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,3068200
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,556304800
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,218209400
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,35768500
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,33635700
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,13265500
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,16481700
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,75088300
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,53176200
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,9264100
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,75243400
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,2785800
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,405672400
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,348354700
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,571546600
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,385901200
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,1611600
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,5105700
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,58111600
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,33459400
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,66823700
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,669038300
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,36187400
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,12854300
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,519322400
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,,16591500
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,,70194400
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,,123427900
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,,826000
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,,4970600
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,,3182300
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,,28158800
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,,620301500
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,,391000600
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,,8460400
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,,223881100
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,141527200
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,,111452600
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,,388162000
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,,112506700
oIBBCCoIDDLoAAooLMEEFFLMooJKGGHHJKoo,28,2985,,3981200
GHBBBKGHCCoKGHAAoKDDIJooooIJEEooIFFF,28,2509,,6228800
BBBCCoDDEEEoAAJKooooJKFFIoGGLoIHHHLo,28,1954,,18651000
GBBCCoGoHIDDAAHIoLoEEJKLFFFJKLoooooo,28,1493,,58701300
FooIBBFGoIKoFGAAKLCCCJKLooHJooDDHEEo,28,1088,,43652400
BBBooKGoCCoKGoAAoKHoIJDDHoIJooHEEFFF,28,721,,54828900
ooHBBBooHCCoAAIJooGoIJDDGEEJoKGFFFoK,28,202,,4023900
BBoJCCDDDJoLoHAAKLoHEEKLooIFFoGGIooo,27,24871,,210802000
BBIoooGHIoKoGHAAKLGCCCKLoooJDDEEoJFF,27,14551,,137552100
GIoKBBGIJKooHIJAAMHooCCMDDDoLNEEFFLN,27,11675,,234949300
BBBoKooCCoKoAAHooooGHDDooGIJEEFFIJoo,27,9769,,424966700
BBBooLGoCCKLGAAJKoHDDJKoHoIEEEFFIooo,27,7858,,267472800
FoooIJFBBBIJAAGHoKooGHoKoooHCCooDDEE,27,6631,,78976900
ooooIKBBBoIKFAAoJoFGCCJooGHDDoooHEEo,27,5556,,414632400
BBJKoNGoJKMNGAALMNHooLCCHIDDooHIEEFF,27,4934,,164894900
HBBCCoHDDJooAAIJooooIKEEFFFKLooGGGLo,27,4314,,89895800
BBoKCCGooKDDGAAKoLHIJEELHIJooMFFFooM,27,3720,,7333600
IBBKLoIoJKLMAAJooMCCCDDMEEEFFoooGGHH,27,3120,227,95603500
BBBJoKoooJoKAAIooKHoICCCHDDoEEoFFGGG,27,2683,,110967700
oooIBBoGHIoKoGHAAKCCDDJoFoooJLFEEEJL,27,2214,,1970500
BBCCCMIDDKLMIAAKLNEEJFFNooJGGGHHHooo,27,1858,,4226200
oGooooEGoIBBEAAIKoFCCJKLFoHJKLFoHDDL,27,1618,,10512900
BBBIJKFooIJKFAAIJLGoHCCLGoHDDDEEEooo,27,1346,,11298400
IBBCCMIDDooMJoKAAMJoKLEEJFFLooGGHHHo,27,1119,,6135000
FoooJKFBBBJKAAHIJKGoHICCGDDDooEEoooo,27,821,,3739300
BBBCCLHoDDKLHoAAKoHoIJEEFFIJoMGGGJoM,27,618,,10233600
oBBBCCDDKEEMJoKAAMJFFFoMJGGLHHoooLII,27,143,,2306200
GHBBBoGHoJCCGAAJoKooIDDKooIEEKooIFFo,26,22013,,6576600
GoBBCCGoJooLAAJooLHIDDDLHIoKEEFFoKoo,26,15298,,72636900
BBBIoLoCCIJLAAHIJMGoHDDMGoEEKMFFooKo,26,12543,,431873200
BBooKooCCCKoAAIJKoooIJDDHEEEoLHFFGGL,26,10636,,360991000
EBBBIJEoFGIJAAFGIooooHoooooHCCooDDDo,26,8822,879,458388800
BBoooKCCDDDKAAIooLooIEELHooJFFHGGJoo,26,7528,,5751500
ooGBBoEFGoHoEFAAHJoCCoIJDDDoIJoooooo,26,6552,,719609500
ooIoooFHIooKFHIAAKBBBJoKGooJCCGDDEEo,26,5863,,64365300
BBBKoLCCCKoLAAJooMDDJooMIoEEFFIoGGHH,26,5129,,70888500
oEBBJLoEooJLAAFHKMCCFHKMooGIoMooGIDD,26,4659,466,177661800
GBBJKoGooJKoAAIoKooHICCCoHDDEEFFFooo,26,4170,,22578400
GBBCCoGoHIDDAAHIoKoEEIJKoFFFJKoooooo,26,3674,,138395400
BBBJoKoCCJoKAAIooLHoIDDLHEEFFLGGGooo,26,3238,415,165243700
BBBKoLCCCKoLAAJooLDDJoooIoEEFFIGGHHH,26,2926,,40098200
oFBBBJoFooIJAAooIKoGCCIKoGHoDDEEHooo,26,2548,152,61442900
GBBCCoGoHDDDAAHoJKoEEIJKFFFIJKoooooo,26,2237,,87450400
