Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,47701000
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,232011500
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,29989300
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,22478900
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,1631434500
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,1128606100
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,1660108300
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,160040700
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,46829500
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,7132300
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,1687214600
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,303363800
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,11666400
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,129769400
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,350473100
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,80030800
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,963457600
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,720801400
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,68899800
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,247856000
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,60081700
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,930857300
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,242557100
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,11052700
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,17647900
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,246824100
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,13229000
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,26639000
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,630298300
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,1280670200
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,1090119700
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,125561300
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,119819600
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,319704700
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,58804200
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,172000100
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,1977391600
