Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,10627800
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,141502000
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,15993400
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,133033900
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,9591800
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,555320000
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,1030312900
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,52925800
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,30071800
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,4412900
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,376250900
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,140002600
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,10539000
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,85186900
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,274073100
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,48147200
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,121275200
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,189979600
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,46466500
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,223275900
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,7815300
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,425082900
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,101833100
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,4669700
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,228808900
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,149167400
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,7502400
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,1089280600
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,397257800
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,1495511000
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,318452800
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,2936300
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,6482600
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,124459300
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,37830000
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,106623500
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,1045814500
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,95552000
