Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,51,199535600,2662
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,45,237291500,3588
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,41,165086900,2468
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,39,203949400,2844
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,43,348809400,4644
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,37,224294200,3068
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,55,666150800,8489
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,36,106219700,1636
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,45,376052800,4905
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,35,164260000,2428
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,49,556036200,6678
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,34,152303000,2320
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,34,36158400,608
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,40,335202400,4405
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,33,134313900,2152
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,33,47664500,806
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,50,555971300,6523
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,42,461370900,5941
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,32,194006500,2867
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,32,82920200,1259
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,32,25327500,438
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,38,376802700,4812
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,46,189279200,2708
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,32,219530600,3113
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,31,134399300,1628
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,31,105146500,1627
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,31,55662900,953
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,34,462121500,5904
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,309684400,3710
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,358012700,4575
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,31,188518400,2735
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,38,146786100,1947
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,30,75424700,1201
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,30,81281200,1285
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,30,24752800,443
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,30,149631000,2178
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,37,462366200,5829
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,33,249787600,3683
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,31,276025500,3687
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,30,270655900,3457
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,29,123840900,1945
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,29,129594200,1887
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,29,114981200,1721
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,31,105680100,1369
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,29,34095000,612
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,29,41425500,682
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,29,14395200,280
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,64,755583800,9558
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,54,647430900,8442
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,28,113213400,1656
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,28,268842200,3634
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,28,201246600,2708
