Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,164439900
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,118280900
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,28606100
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,303309800
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,123129100
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,289189100
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,2283252400
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,29745700
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,56984700
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,441267600
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,748975000
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,693099300
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,21406600
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,150452100
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,486686500
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,12367500
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,130802200
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,2716971600
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,260234000
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,716664500
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,52793100
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,1400316400
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,195187300
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,5277100
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,41802300
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,462022400
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,11167700
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,25179700
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,1197671100
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,834259600
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,143234200
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,6703100
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,11468400
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,438635600
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,139588800
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,315379900
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,288528500
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,126151000
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,73550800
