Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,74789000
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,39894600
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,10623100
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,150142200
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,5997700
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,12957500
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,1663890800
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,16077200
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,29429400
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,5850200
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,593390700
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,270538300
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,3617800
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,60194000
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,72397600
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,5941600
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,697335000
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,703225100
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,38845500
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,108264200
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,24890100
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,44205100
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,107161200
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,2581600
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,21331800
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,185739500
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,5082000
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,2127631500
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,957897000
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,1476437200
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,74852400
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,3185500
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,5522400
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,140194800
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,66483300
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,150979300
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,2285243500
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,48164400
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,21033500
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,623947800
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,,16591000
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,,96282000
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,,61151000
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,,1556500
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,,9363200
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,,5923000
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,,13798500
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,,769240500
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,,796504900
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,,57216200
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,628,566810800
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,318098800
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,,169924700
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,,392569600
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,,406257900
oIBBCCoIDDLoAAooLMEEFFLMooJKGGHHJKoo,28,2985,,371603800
GHBBBKGHCCoKGHAAoKDDIJooooIJEEooIFFF,28,2509,,11980200
BBBCCoDDEEEoAAJKooooJKFFIoGGLoIHHHLo,28,1954,,37583800
GBBCCoGoHIDDAAHIoLoEEJKLFFFJKLoooooo,28,1493,,293896600
FooIBBFGoIKoFGAAKLCCCJKLooHJooDDHEEo,28,1088,,193289200
BBBooKGoCCoKGoAAoKHoIJDDHoIJooHEEFFF,28,721,,57057200
ooHBBBooHCCoAAIJooGoIJDDGEEJoKGFFFoK,28,202,,5724200
BBoJCCDDDJoLoHAAKLoHEEKLooIFFoGGIooo,27,24871,,1236289300
BBIoooGHIoKoGHAAKLGCCCKLoooJDDEEoJFF,27,14551,,365504800
GIoKBBGIJKooHIJAAMHooCCMDDDoLNEEFFLN,27,11675,,306721500
BBBoKooCCoKoAAHooooGHDDooGIJEEFFIJoo,27,9769,,132673100
BBBooLGoCCKLGAAJKoHDDJKoHoIEEEFFIooo,27,7858,,290825100
FoooIJFBBBIJAAGHoKooGHoKoooHCCooDDEE,27,6631,,47122100
