Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,39441200
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,33731000
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,8231800
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,91375100
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,2984600
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,114798200
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,218843300
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,8264800
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,286303300
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,44749100
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,225011700
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,55545200
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,1838800
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,253786300
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,24918900
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,3144200
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,237600200
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,156118900
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,31390400
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,132716000
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,13806400
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,946549000
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,58175700
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,1551100
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,11890900
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,99904800
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,2836300
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,316697600
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,742675300
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,570648800
