Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,52,156350300,2231
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,45,228514000,3097
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,41,144770700,2177
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,40,169664100,2576
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,254498100,3504
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,42,207071700,2800
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,85,561515300,7234
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,38,126168600,1586
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,47,222173200,3046
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,37,142502000,2124
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,57,363960800,4459
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,34,135713300,2036
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,34,35750100,608
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,58,326310000,4299
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,38,121698300,1946
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,33,47935900,806
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,60,364249400,4716
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,45,330014200,4285
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,38,164457700,2407
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,33,72555700,1106
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,32,26263600,438
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,93,611107600,7295
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,48,157146600,2489
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,35,167248400,2360
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,32,92477700,1347
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,32,110613100,1381
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,31,57059700,953
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,81,603187000,7575
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,67,429965500,5467
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,346971200,4645
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,155418000,1882
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,37,115382600,1760
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,31,75752600,1201
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,30,81739800,1269
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,30,25387700,443
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,30,118363300,1755
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,46,359151100,4645
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,34,163264000,2409
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,36,160464100,2375
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,195848800,2308
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,29,80654900,1267
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,29,101064800,1468
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,31,101379400,1475
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,34,84852900,1329
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,29,35248100,612
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,29,41464800,682
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,29,15028100,280
