Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,11647400,153
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,52175900,686
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,36943400,538
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,23685300,355
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,199,100180200,1236
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,101,42717700,548
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,189350900,2063
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,13719000,208
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,53057600,679
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,55915700,800
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,198,103094000,1246
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,13405600,203
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,44,10083400,166
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,66645900,872
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,89,32388300,492
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,11132300,178
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,233,114945400,1411
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,62390500,797
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,48435600,647
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,10162900,160
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,38,10982500,193
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,256,129197700,1595
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,14126700,220
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,84,34107500,429
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,49,16377400,240
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,17526400,281
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,13084400,215
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,292,162953600,1940
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,84850500,1059
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,109299000,1298
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,39636900,508
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,46360400,647
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,69,26400000,408
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,42,13658100,190
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,41,11511100,207
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,67,26392800,374
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,141661700,1769
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,136,58299400,818
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,135,60953500,843
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,138,65797100,852
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,,25212200,386
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,175,77156000,1055
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,68,29324200,406
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,71,24690500,352
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,50,15373900,276
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,,15935600,252
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,31,7485100,138
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,358,187217800,2310
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,292,200058100,2099
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,49,15594900,219
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,117,54337100,692
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,33999700,482
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,134,59140300,829
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,,43384200,561
