Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,369141200
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,594337300
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,250968400
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,1338370100
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,75382200
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,8133078500
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,14725739300
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,599282700
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,655183700
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,2769215600
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,12925385400
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,1701473300
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,82997300
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,1107155500
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,696668500
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,675038600
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,1128934400
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,4031825200
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,3773460300
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,1628608500
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,44193200
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,9512928000
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,1693904200
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,165934800
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,4579113200
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,1944008500
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,102976800
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,24851859600
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,6409186000
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,10465045900
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,9060898000
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,810571600
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,61652400
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,1983369400
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,663986600
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,1502660000
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,16289116400
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,731362300
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,6219827700
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,4684277800
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,,2631185800
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,,1161782700
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,,1588845400
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,,63016800
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,,100724400
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,,856591400
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,,375253800
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,,3891966100
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,,2659506500
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,,554922300
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,,7797830500
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,2353313600
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,,125515800
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,,9963890900
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,,3620247100
oIBBCCoIDDLoAAooLMEEFFLMooJKGGHHJKoo,28,2985,,271769000
GHBBBKGHCCoKGHAAoKDDIJooooIJEEooIFFF,28,2509,,113793900
BBBCCoDDEEEoAAJKooooJKFFIoGGLoIHHHLo,28,1954,,469387900
GBBCCoGoHIDDAAHIoLoEEJKLFFFJKLoooooo,28,1493,,2874061700
FooIBBFGoIKoFGAAKLCCCJKLooHJooDDHEEo,28,1088,,1330754700
BBBooKGoCCoKGoAAoKHoIJDDHoIJooHEEFFF,28,721,,762000200
ooHBBBooHCCoAAIJooGoIJDDGEEJoKGFFFoK,28,202,,143988200
BBoJCCDDDJoLoHAAKLoHEEKLooIFFoGGIooo,27,24871,,35203105600
BBIoooGHIoKoGHAAKLGCCCKLoooJDDEEoJFF,27,14551,,754250800
GIoKBBGIJKooHIJAAMHooCCMDDDoLNEEFFLN,27,11675,,1710859100
BBBoKooCCoKoAAHooooGHDDooGIJEEFFIJoo,27,9769,,746635600
BBBooLGoCCKLGAAJKoHDDJKoHoIEEEFFIooo,27,7858,,302679000
FoooIJFBBBIJAAGHoKooGHoKoooHCCooDDEE,27,6631,,14118988900
ooooIKBBBoIKFAAoJoFGCCJooGHDDoooHEEo,27,5556,,5752322400
BBJKoNGoJKMNGAALMNHooLCCHIDDooHIEEFF,27,4934,,812696000
HBBCCoHDDJooAAIJooooIKEEFFFKLooGGGLo,27,4314,,173520400
BBoKCCGooKDDGAAKoLHIJEELHIJooMFFFooM,27,3720,109,1160814700
