Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,279800,2
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,5171300,11
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,3253900,8
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,676800,5
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,1197300,3
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,6468500,13
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,7063000,9
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,3366500,10
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,1322300,3
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,1245600,3
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,4329800,9
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,2941600,6
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,1029900,3
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,1675600,3
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,1983600,8
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,1912400,8
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,2588900,4
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,8081100,12
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,786400,3
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,4588500,11
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,550600,3
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,4478600,8
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,2514100,6
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,3491200,4
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,1165800,3
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,5368000,11
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,1355400,4
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,1361800,3
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,1286500,4
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,3812100,7
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,3358400,10
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,390200,2
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,907800,4
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,2187300,6
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,379200,2
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,248000,2
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,2458600,4
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,3020200,7
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,1371400,4
