Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,51,1165568300,2062
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,44,1187886700,3001
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,43,1404952700,2124
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,51,973977100,2573
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,55,2217319500,3693
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,46,1569520200,2810
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,82,7482914900,7584
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,36,549941700,1563
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,75,3964682200,5047
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,43,1557717000,2358
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,57,3740394400,4090
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,34,805797100,2083
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,34,173694000,608
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,56,2260775500,4284
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,40,696689000,1949
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,33,193781100,806
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,3090429000,3773
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,3079864600,4483
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,38,892925100,2441
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,32,423395100,1197
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,32,148403300,438
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,94,6447359200,6855
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,31,586263900,1434
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,32,1654623000,1860
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,32,844984500,1371
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,31,518839500,1332
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,31,320734100,953
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,6802926200,8598
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,1913366200,3934
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,49,2736965400,4304
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,47,1066550800,2394
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,37,530653100,1837
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,31,496637700,1257
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,30,506986800,1251
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,30,107951000,443
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,29,1044896300,1837
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,3633379800,5201
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,31,1234493500,2196
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,1205507300,3104
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,1492127100,2310
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,29,609372100,1221
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,31,1071894800,1510
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,30,704522200,1541
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,37,583305600,1369
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,29,206534200,612
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,29,239748800,682
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,29,73512900,280
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,108,4754149200,8205
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,33,1203325100,2991
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,28,692782300,1473
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,42,2756195900,3286
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,787748300,1362
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,30,1734434200,2029
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,31,1279657500,2409
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,29,1267717700,1916
oIBBCCoIDDLoAAooLMEEFFLMooJKGGHHJKoo,28,2985,28,886918800,1252
GHBBBKGHCCoKGHAAoKDDIJooooIJEEooIFFF,28,2509,30,585316200,1584
BBBCCoDDEEEoAAJKooooJKFFIoGGLoIHHHLo,28,1954,30,583942800,1359
GBBCCoGoHIDDAAHIoLoEEJKLFFFJKLoooooo,28,1493,28,646428300,1126
FooIBBFGoIKoFGAAKLCCCJKLooHJooDDHEEo,28,1088,28,395412300,958
BBBooKGoCCoKGoAAoKHoIJDDHoIJooHEEFFF,28,721,28,188169900,646
ooHBBBooHCCoAAIJooGoIJDDGEEJoKGFFFoK,28,202,28,62758000,169
BBoJCCDDDJoLoHAAKLoHEEKLooIFFoGGIooo,27,24871,,9598597700,11392
BBIoooGHIoKoGHAAKLGCCCKLoooJDDEEoJFF,27,14551,27,1066075500,1796
