Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,66083500
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,52214300
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,8047300
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,35353100
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,14570800
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,394906800
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,533291200
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,34947500
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,57821100
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,3768900
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,558194500
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,135347000
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,10219100
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,49185300
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,64456100
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,15609100
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,363120800
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,461616500
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,38363700
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,93349400
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,1606200
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,340274300
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,79623000
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,3207100
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,11576900
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,60278500
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,4715300
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,47628700
