Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,244500200
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,328419200
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,51374200
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,98221800
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,16089200
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,1988913900
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,2474628600
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,171271000
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,60968100
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,1184625400
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,2963382900
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,619584800
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,16911000
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,179396600
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,133138000
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,76423200
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,2592286700
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,369267300
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,47728400
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,474832500
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,11883000
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,484312100
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,533744400
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,14356600
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,610977300
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,324604900
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,17640800
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,398694500
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,968746200
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,1089469200
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,1560703700
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,800576200
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,18467200
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,218069100
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,64585900
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,135675900
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,3528790500
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,49732300
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,67666500
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,810527400
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,,79410000
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,,224604900
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,,765824400
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,,2984000
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,,17014300
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,,12820100
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,,75588900
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,,792500700
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,,253905900
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,,99936700
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,,2755953000
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,599404600
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,,17098600
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,,1629406100
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,,1339940800
